code,name,market,sectorName,tradePrice,marketCap,per,sectorPer,pbr,roe,debt_pct,op_margin,vol_mult,vol_mult_max5,amt_avg20,ret_60d,ret_6m,off_high_pct,foreignRatio,total,signal,naver_url,s_per,s_sector,s_pbr,s_roe,s_opm,s_debt,s_vol,s_amt,s_size,s_dip
332570,PS일렉트로닉스,KOSDAQ,,7620.0,355942110060,15.25,92.36285,2.69,17.62984637893197,141.643,5.604561526812762,0.3360353600786188,0.7284797035667527,41691369796.5,-5.576208178438657,36.80430879712746,-49.166110740493664,0.0,43.6,,https://finance.naver.com/item/main.naver?code=332570,0.0,8.0,0.8680000000000002,7.577907827359181,1.5320950157722126,2.7462117647058824,0.0,10.0,8.0,4.895763842561708
004980,성신양회,KOSPI,,8400.0,205935013200,8.07,7.61253,0.36,4.419421749989417,122.651,3.7627261735309,1.3004422055997056,2.4365438762846443,597087227.5,4.738154613466339,-13.757700205338809,-45.13389941214893,0.0465295156,43.6,,https://finance.naver.com/item/main.naver?code=004980,9.45,0.0,7.0,0.0,0.4486624550181766,3.6399529411764706,7.1827193814232215,1.4945826320878552,10.0,4.391737426518616
126730,코칩,KOSDAQ,,20000.0,175402520000,55.35,-78.79965,2.82,5.099271532638195,17.815,24.50557144033712,0.1983059081277429,1.236854123837509,23483526687.75,-0.990099009900991,-2.676399026763987,-45.2054794520548,0.0020285912,43.6,,https://finance.naver.com/item/main.naver?code=126730,0.0,0.0,0.5040000000000004,0.059562919582916866,10.0,8.0,1.1842706191875452,9.468210319180823,10.0,4.40068493150685
085910,네오티스,KOSDAQ,,14430.0,199059223740,44.85,10.15127,3.56,7.944150216658643,75.249,19.90953233814577,1.3049517601177008,2.233562215146621,2623975251.75,-49.1005291005291,-16.25072547881602,-60.24793388429752,0.104126564,43.5,,https://finance.naver.com/item/main.naver?code=085910,0.0,0.0,0.0,1.7664901299951854,9.94678372832104,5.870635294117648,6.1678110757331055,4.709192399586151,10.0,5.0
054540,삼영엠텍,KOSDAQ,,6550.0,85150000000,9.61,20.35334,1.04,10.790667530784187,129.837,2.41732224282612,0.3826514762893649,1.0652177857391454,607754645.75,-23.391812865497077,-52.604920405209846,-71.27192982456141,0.0550188462,43.5,,https://finance.naver.com/item/main.naver?code=054540,7.3500000000000005,7.037888294173504,5.488,3.474400518470512,0.0,3.301788235294118,0.3260889286957269,1.53303516303966,10.0,5.0
382800,지앤비에스 에코,KOSDAQ,,4990.0,158836894590,23.82,29.55114,1.28,5.376925155363415,24.794,13.85401859861489,0.4000679808655009,0.8425721163518358,5672809752.65,-16.134453781512605,27.133757961783434,-50.83743842364533,0.0692573642,43.4,,https://finance.naver.com/item/main.naver?code=382800,0.0,2.585863015775365,4.816,0.22615509321804927,6.384716822714641,8.0,0.0,6.383384821415623,10.0,5.0
003570,SNT다이내믹스,KOSPI,,28200.0,937726055400,10.55,10.15127,0.78,7.349653781146066,31.815,8.755159738370182,0.3119031046650911,1.982339991582764,1528347925.0,-33.25443786982248,-49.822064056939496,-63.0890052356021,0.1369952939,43.4,,https://finance.naver.com/item/main.naver?code=003570,6.0681818181818175,0.0,6.215999999999999,1.4097922686876396,3.3853880813942245,7.914588235294118,4.91169995791382,3.535504884731271,5.0,5.0
200880,서연이화,KOSPI,,11630.0,314340722310,5.18,10.15127,0.27,5.121343545261603,151.921,4.070448675225535,0.2515065436163009,0.9107317010847114,726059568.0,0.954861111111116,-29.939759036144576,-36.48279628618242,0.0697243056,43.1,,https://finance.naver.com/item/main.naver?code=200880,13.39090909090909,6.52958693838308,7.0,0.07280612715696205,0.6296756913091383,2.2625411764705885,0.0,1.919254991007131,8.0,3.3103495357728026
100120,뷰웍스,KOSDAQ,,26350.0,236396679850,10.76,-32.56516,0.94,8.74815799877799,41.988,16.74530204816032,0.3314098487954945,0.696852101669331,695636498.75,6.036217303822933,-0.3780718336483968,-24.49856733524355,0.3024665797,43.0,,https://finance.naver.com/item/main.naver?code=100120,5.781818181818182,0.0,5.768000000000001,2.248894799266793,8.085471793035481,7.435858823529411,0.0,1.8263055291524743,10.0,1.8123209169054437
425420,티에프이,KOSDAQ,,52700.0,650696438700,31.97,29.55114,5.39,16.85261927531612,31.790000000000003,18.09716886147652,1.3701457741221463,1.449917704636045,4877203841.25,3.740157480314954,18.82750845546788,-32.17503217503217,0.0312961315,43.0,,https://finance.naver.com/item/main.naver?code=425420,0.0,0.0,0.0,7.111571565189671,8.880687565574423,7.915764705882354,2.2495885231802246,6.055248262284527,8.0,2.7718790218790215
078520,에이블씨엔씨,KOSPI,,11260.0,292919452860,20.55,45.51779,3.26,15.884057971014492,110.789,15.95322251577038,0.3196103011571409,1.1192519901322056,1699987768.0,7.545367717287488,-2.510822510822508,-32.93627159023228,0.0975944217,42.9,,https://finance.naver.com/item/main.naver?code=078520,0.0,7.313708918351851,0.0,6.530434782608695,7.6195426563355175,4.198164705882353,0.5962599506610278,3.766622708854195,10.0,2.867033948779035
